3
980 2
0 980
0.137167200132818 0.068583600066409
1 0 0 0 1 0 0 0 1 
T T T 
0.9345483994397799 0.823943437245018 0.8092462878528548 0.08608168438502234
0.7710666182265949 0.4234307462335725 0.6133156950491432 0.08605625763668771
0.4775274295293843 0.8836354171427924 0.1521482178144516 0.08599974668851398
0.7362438687526336 0.7006541019323999 0.06252811087196196 0.08599866605170978
0.380017612036411 0.7630960361994567 0.8309261359673111 0.08596904388989995
0.7454784449373058 0.1641637606828286 0.0961033052428415 0.08590751115893019
0.6098141618293884 0.6613658437623502 0.826954364638857 0.08584807613469798
0.05706306417640802 0.9588567499084334 0.63336755125283 0.08583733333352661
0.3173145699919377 0.5551738683285892 0.438061980330548 0.08580980887845441
0.8786703002343406 0.2652745398408484 0.759577261011352 0.08580574059872084
0.2145185884968323 0.2879105339060823 0.7513112173904853 0.08580052811531225
0.5128845156669122 0.05859433093772367 0.4522005072882554 0.08579201015462015
0.09424744424874019 0.5251844143712805 0.4355219153592297 0.08558497285630551
0.7777467129382591 0.1955191522882206 0.4328492197408918 0.08553634420011552
0.680711384754502 0.4117522217347867 0.4073604410310322 0.08552210522104815
0.4427291383391332 0.7451754893377508 0.07656693359890013 0.08541022752837582
0.8999029787143052 0.8648528739835513 0.6018654250295677 0.08540628638238394
0.3375230238733653 0.8475852569044553 0.07941944888707947 0.08537621925247828
0.8153239457928138 0.08308765632828073 0.2513954770706197 0.08534182957535569
0.7693652699735654 0.02680962419087793 0.6243429878511999 0.08531767416443779
0.1744389792451217 0.1747813401160459 0.8216009266020738 0.0852008382558402
0.7224350775659695 0.9006125095145809 0.9011112641098219 0.08519778704604007
0.1702938803183738 0.958832026504893 0.2586321010605172 0.08515875698734643
0.1972131825624248 0.608481576026179 0.3426074738250072 0.08508940553126373
0.03026345885466598 0.87172070033792 0.9456645017515777 0.08505393521733695
0.7641705497404245 0.6289607513844045 0.5358289612521997 0.08504039547384874
0.5488048942127421 0.946041246916093 0.8306511152775818 0.08492432236770121
0.5323529110855058 0.262345967045177 0.9167356821818659 0.08473660939812086
0.6996670469145626 0.8457213580493097 0.9697383448619499 0.08464767934582056
0.233045189300286 0.2504966365790476 0.8326729182736132 0.0845601477646786
0.4939667722388461 0.4523060049155077 0.4768504954870086 0.08452493171823515
0.1626274620719602 0.5828570122131734 0.04716095992189878 0.08451056560542608
0.5437260987442497 0.7280851710216113 0.4783976997338097 0.08450910356739684
0.1233498890542243 0.1336689145486605 0.1492520381684448 0.08443676446838486
0.4968683778395969 0.2080646172790174 0.8314414719374538 0.08431083849725764
0.293915365470622 0.1233732851684823 0.7491433480024166 0.08429577314886941
0.0803757980978574 0.9877711596751778 0.7599132078316834 0.08420614386098983
0.8678209061524752 0.1669152692663271 0.0817072071612648 0.08415656170173733
0.1063791616953065 0.4531971845600128 0.3134504031077635 0.08400482758105048
0.2897893055692427 0.877877362829054 0.1642392965813746 0.08396369981561923
0.1252488906156716 0.8898754882296785 0.7793307416642675 0.08396033077146489
0.6527954151561991 0.8552033804636957 0.04222393355148396 0.08391271918520832
0.02905442617780304 0.4594378978503646 0.2398635982746197 0.083837392443267
0.996112068750472 0.34051982344269 0.9559968104883705 0.08378278850121838
0.6526785714123956 0.9384030931076593 0.9917085702973353 0.08373632111863688
