3
1000
1000
4.308869e-02
10 01
T T
2.154435e-02 2.154435e-02 1.000000 0.025712 0.878561
3.350342e-02 8.213164e-03 8.213164e-03 1.000000 0.591421 0.128423
1.072363e-02 8.203380e-03 8.203380e-03 1.000000 0.764770 0.127538
9.449828e-01 8.182825e-03 8.182825e-03 1.000000 0.952629 0.584816
7.259079e-01 8.164738e-03 8.164738e-03 1.000000 0.951775 0.089092
9.189082e-01 8.137515e-03 8.137515e-03 1.000000 0.763759 0.356019
3.402066e-02 8.124861e-03 8.124861e-03 1.000000 0.910332 0.224439
4.960118e-02 8.101788e-03 8.101788e-03 1.000000 0.655226 0.485062
5.350446e-01 8.080519e-03 8.080519e-03 1.000000 0.990086 0.767108
3.041101e-01 8.079181e-03 8.079181e-03 1.000000 0.555758 0.693592
6.642239e-01 8.067011e-03 8.067011e-03 1.000000 0.037400 0.990594
1.993781e-02 8.065566e-03 8.065566e-03 1.000000 0.426239 0.774206
3.827793e-02 8.028099e-03 8.028099e-03 1.000000 0.548342 0.725785
8.777518e-01 7.957012e-03 7.957012e-03 1.000000 0.270013 0.041556
7.499348e-02 7.928457e-03 7.928457e-03 1.000000 0.941541 0.769245
8.931601e-01 7.915260e-03 7.915260e-03 1.000000 0.876292 0.213816
2.451283e-01 7.914724e-03 7.914724e-03 1.000000 0.454427 0.979427
1.038232e-01 7.914316e-03 7.914316e-03 1.000000 0.241450 0.723544
6.432810e-01 7.903946e-03 7.903946e-03 1.000000 0.878537 0.410936
9.264540e-01 7.881787e-03 7.881787e-03 1.000000 0.480476 0.321649
6.204670e-01 7.855576e-03 7.855576e-03 1.000000 0.326397 0.204492
2.177864e-03 7.841154e-03 7.841154e-03 1.000000 0.036380 0.843179
9.918774e-01 7.840253e-03 7.840253e-03 1.000000 0.181726 0.318641
5.498954e-01 7.798619e-03 7.798619e-03 1.000000 0.207465 0.062283
4.163369e-01 7.796512e-03 7.796512e-03 1.000000 0.950157 0.473733
4.099252e-01 7.795728e-03 7.795728e-03 1.000000 0.707808 0.106059
3.239522e-01 7.792526e-03 7.792526e-03 1.000000 0.505820 0.272705
7.794988e-01 7.769543e-03 7.769543e-03 1.000000 0.127409 0.660986
4.624023e-01 7.753321e-03 7.753321e-03 1.000000 0.937230 0.052973
3.737110e-02 7.739291e-03 7.739291e-03 1.000000 0.314194 0.330764
7.630343e-01 7.723485e-03 7.723485e-03 1.000000 0.841125 0.819093
2.027253e-01 7.685994e-03 7.685994e-03 1.000000 0.459421 0.806401
6.497972e-01 7.660333e-03 7.660333e-03 1.000000 0.333496 0.966035
8.255424e-01 7.650043e-03 7.650043e-03 1.000000 0.340246 0.070820
5.882840e-01 7.633477e-03 7.633477e-03 1.000000 0.245221 0.101919
6.854051e-01 7.591406e-03 7.591406e-03 1.000000 0.127238 0.787202
2.879134e-01 7.567473e-03 7.567473e-03 1.000000 0.414712 0.559374
8.968812e-01 7.563508e-03 7.563508e-03 1.000000 0.602448 0.642835
8.638931e-01 7.550463e-03 7.550463e-03 1.000000 0.263393 0.560109
8.888670e-02 7.539887e-03 7.539887e-03 1.000000 0.536990 0.743167
1.603577e-01 7.539087e-03 7.539087e-03 1.000000 0.660074 0.198173
1.164507e-01 7.531533e-03 7.531533e-03 1.000000 0.966033 0.914309
1.777298e-01 7.521742e-03 7.521742e-03 1.000000 0.711611 0.006545
6.145218e-01 7.480192e-03 7.480192e-03 1.000000 0.670257 0.438366
5.928712e-01 7.477261e-03 7.477261e-03 1.000000 0.662332 0.148907
2.694083e-01 7.456306e-03 7.456306e-03 1.000000 0.802813 0.445782
7.422198e-01 7.438825e-03 7.438825e-03 1.000000 0.761615 0.782460
6.381155e-01 7.434412e-03 7.434412e-03 1.000000 0.925937 0.377974
3.750477e-01 7.418461e-03 7.418461e-03 1.000000 0.337944 0.867822
2.659186e-01 7.410018e-03 7.410018e-03 1.000000 0.880075 0.322075
7.970298e-01 7.409112e-03 7.409112e-03 1.000000 0.728793 0.861813
3.440523e-01 7.386464e-03 7.386464e-03 1.000000 0.983072 0.259429
9.102552e-01 7.385113e-03 7.385113e-03 1.000000 0.262818 0.034941
8.432880e-01 7.383195e-03 7.383195e-03 1.000000 0.528079 0.389047
9.640643e-01 7.378533e-03 7.378533e-03 1.000000 0.027466 0.851925
8.737799e-02 7.356921e-03 7.356921e-03 1.000000 0.938608 0.501168
9.483658e-01 7.348260e-03 7.348260e-03 1.000000 0.129681 0.938676
4.461004e-01 7.336951e-03 7.336951e-03 1.000000 0.238572 0.786061
3.545287e-01 7.329404e-03 7.329404e-03 1.000000 0.485435 0.074436
7.468858e-01 7.315045e-03 7.315045e-03 1.000000 0.584668 0.832387
1.860490e-01 7.295177e-03 7.295177e-03 1.000000 0.422579 0.315047
8.891196e-01 7.290585e-03 7.290585e-03 1.000000 0.009381 0.449630
7.360171e-01 7.289510e-03 7.289510e-03 1.000000 0.128447 0.346046
7.729277e-01 7.261501e-03 7.261501e-03 1.000000 0.955574 0.627085
8.450951e-01 7.231249e-03 7.231249e-03 1.000000 0.369882 0.602287
9.387299e-01 7.226339e-03 7.226339e-03 1.000000 0.055214 0.412509
6.896678e-01 7.204235e-03 7.204235e-03 1.000000 0.215633 0.898992
3.017081e-01 7.201402e-03 7.201402e-03 1.000000 0.371654 0.189252
5.828484e-01 7.199197e-03 7.199197e-03 1.000000 0.636396 0.929419
1.215018e-01 7.193235e-03 7.193235e-03 1.000000 0.019957 0.070863
2.599647e-01 7.191031e-03 7.191031e-03 1.000000 0.006650 0.875542
5.576142e-01 7.189599e-03 7.189599e-03 1.000000 0.811556 0.669684
3.471816e-01 7.171356e-03 7.171356e-03 1.000000 0.475401 0.496117
1.914903e-02 7.163651e-03 7.163651e-03 1.000000 0.920822 0.211070
1.146032e-02 7.144098e-03 7.144098e-03 1.000000 0.291038 0.853103
4.769486e-01 7.138272e-03 7.138272e-03 1.000000 0.652455 0.082284
6.782263e-01 7.137545e-03 7.137545e-03 1.000000 0.296522 0.666353
3.675329e-01 7.132194e-03 7.132194e-03 1.000000 0.258503 0.636613
6.846690e-01 7.116267e-03 7.116267e-03 1.000000 0.570956 0.910481
4.198899e-01 7.102670e-03 7.102670e-03 1.000000 0.833802 0.080376
9.802308e-01 7.095779e-03 7.095779e-03 1.000000 0.512521 0.680064
5.935961e-01 7.091898e-03 7.091898e-03 1.000000 0.471962 0.558712
4.344414e-01 7.064578e-03 7.064578e-03 1.000000 0.090458 0.126944
